CountryName,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Sweden,Sweden,39.02505446,39.11028844,39.26298944,39.43664603,39.23412368,39.17564726,39.28481595,39.49588333,39.93727553,40.08622171,40.80859208,40.85524311,41.42355657,41.97803223,41.00360619,41.20020041,41.25626645,41.22739585,41.34173721,41.57687312,41.17757574,41.54417443,41.28950307,41.3765502,41.97506857,42.18563181,42.33057744,42.45539372,42.60192746,42.71323632,42.83677761,42.94665825,43.0940543,43.21832982,43.32812936,43.45313818
Denmark,Denmark,36.09997082,36.24273395,36.47111874,36.34062382,36.71582571,36.51623165,36.74597838,36.68959583,37.92473241,38.00678491,39.22749144,39.08190694,39.21723132,39.08087437,39.57667291,39.22656158,38.91838035,38.83328131,38.74742984,38.72564869,38.58375159,38.43586897,38.50741081,38.92092268,39.671896,39.83118539,39.96932507,40.11712102,40.25561923,40.39259624,40.4952585,40.62942926,40.76657629,40.90510251,41.03842831,41.17665525
Finland,Finland,36.01283525,36.38327934,36.45171949,35.82232882,35.5916669,35.97118501,35.97757207,36.15415445,36.26899429,36.65718928,36.97206951,37.09715311,37.43614859,37.34071002,37.42969511,37.6302083,37.33248199,37.69820221,37.94295265,38.02926826,38.18173988,38.13280427,38.22489966,38.18463563,38.48374204,38.60282883,38.73670465,38.84828725,38.96351254,39.07589624,39.2134921,39.32477586,39.4407278,39.55203954,39.65051843,39.78809686
Cyprus,Cyprus,35.14459067,35.34130325,35.81986719,36.40778541,36.76605547,36.92481601,37.18772263,37.26126913,36.91320786,37.44379583,37.61665641,38.0004148,38.25743652,38.36780011,37.65358632,38.3967981,38.88356182,38.58089615,38.74233123,38.34355992,38.17292916,38.59935438,38.47483314,38.7358977,39.24628062,39.47292766,39.5858924,39.7264202,39.86616867,40.00653694,40.15053319,40.29143244,40.43101433,40.57144078,40.71169932,40.85626019
Bahamas,Bahamas,35.05259136,35.6632839,35.53294899,35.49012072,35.91865294,36.17032882,36.09105696,37.33351768,37.08734764,36.75820794,37.47512861,38.09644745,38.15426337,38.34835769,38.49601313,38.75776893,38.9927508,39.74169808,39.26395364,39.72221488,39.78252736,39.61622719,39.86272046,40.11339275,40.58398742,40.91321284,41.14800152,41.38312792,41.59295967,41.82805401,42.06404358,42.29831776,42.53389507,42.76895446,42.97778357,43.21302429
Israel,Israel,34.9266391,34.96631332,35.03604372,35.09834164,35.3771918,35.72925137,36.23068686,36.40590023,36.61917582,36.66577053,37.32385701,37.32156618,37.43250638,37.21466556,37.5652702,37.52631279,37.63363165,38.00233347,38.57417879,38.59486657,38.70025322,38.71820504,38.62111702,38.86434985,39.43606366,39.56880955,39.74014718,39.92984682,40.12074245,40.2872671,40.47740868,40.6458219,40.83957856,41.02977896,41.22570476,41.39195481
Portugal,Portugal,34.84447216,35.99763956,35.95896226,36.26331062,36.05976934,36.29890744,36.68591683,36.85900929,36.85423464,37.19955315,37.58490776,37.34203804,37.28585181,38.10540623,40.09070971,38.00052568,38.15892683,38.15166636,38.72674204,38.32034104,38.6278457,38.37930672,37.92929686,38.70669109,39.28395739,39.37446561,39.53541308,39.69614021,39.82559615,39.95212606,40.11381736,40.24344002,40.38255199,40.54438193,40.70512147,40.83866885
Norway,Norway,34.52917815,35.12668256,35.36258054,34.78172082,35.0512262,34.47758906,34.71010317,34.93648859,35.01948938,35.5547867,35.09513423,35.65710365,36.24581593,36.61558635,36.57593258,36.64906047,36.8631504,36.79470612,36.62570304,36.99576981,37.17615906,36.96210471,36.82499263,37.07177763,37.47089754,37.57447672,37.69356534,37.81751507,37.95404457,38.07385628,38.19170881,38.31586808,38.4535386,38.57222188,38.6914718,38.80401678
UnitedKingdom,UnitedKingdom,33.80470783,33.90672631,34.32737377,34.29555583,34.79124011,35.08811576,35.2178695,34.72680323,35.54681441,36.08237783,37.09444108,37.17450398,37.56776583,37.80656548,38.47772718,38.58650708,39.20041065,38.85596714,39.02857166,39.27142834,39.63204693,39.85741672,40.07320877,40.70716806,41.02798945,41.3506707,41.67329548,41.96870659,42.29186227,42.62523966,42.90363525,43.24292871,43.52204933,43.83205861,44.14974624,44.44480154
Croatia,Croatia,33.75828491,33.80173691,34.18000187,34.56956412,34.74395916,34.88180456,35.16032756,35.23800124,35.48694072,35.7260511,36.28931219,36.75474168,37.43270024,37.23687355,37.46467409,38.06110976,38.1363857,38.7140102,38.6492734,38.49943594,38.95782485,38.86968259,38.70119076,39.23759643,39.80285203,40.17091835,40.42298357,40.67511812,40.92688773,41.17860107,41.43506037,41.68643781,41.9621476,42.21451747,42.46646943,42.72164318
Switzerland,Switzerland,33.61473648,33.63916167,33.7745084,33.73406988,34.22413226,34.51452059,34.75719005,35.26793118,35.15849471,36.11461528,36.87795124,37.16779339,37.31267459,37.36388417,37.5743102,37.77142595,37.6650179,37.75686596,38.32191858,38.63729458,38.46438789,39.16802653,38.93469566,39.19691559,39.92164249,40.19287758,40.44742827,40.74840641,41.01885056,41.28029012,41.54983084,41.80801298,42.08246204,42.33966743,42.63811418,42.91095575
Latvia,Latvia,33.57672539,33.10633162,33.50532983,33.08776004,33.40549959,33.26455731,33.92457185,34.58206706,34.58623615,35.2921418,35.68176341,35.77358823,36.02814283,36.50486826,36.68020383,36.99193114,37.1250857,37.36523212,37.40416681,36.9698271,37.09598346,37.13030928,37.37875697,38.09957129,38.47785746,38.68879682,38.92920463,39.14831529,39.36420515,39.60528988,39.82414036,40.06493182,40.3086343,40.52852784,40.74486843,40.96348624
Luxembourg,Luxembourg,33.42741214,33.83346886,33.70301786,34.40760497,34.6354528,35.17835393,35.69329211,36.56066611,37.09890657,37.27733377,37.80240955,37.94090623,38.36885488,38.12609982,38.2262881,38.70455901,39.66641221,39.9552428,39.51853962,39.75208652,40.47052055,39.52458757,39.46904155,40.37690384,41.55609073,41.69763485,42.0376237,42.35813068,42.65910102,42.9669632,43.30748922,43.58764193,43.92304201,44.23566165,44.53212633,44.85708973
Hungary,Hungary,33.36920041,33.05948998,33.48961955,33.66235295,33.85071197,34.09192751,34.10293807,34.75159254,35.20802778,35.1769107,35.22248317,35.647349,35.98639111,36.10029273,36.29972445,36.31784723,36.56683176,36.76637914,37.05924192,36.95629683,37.31042372,37.23291273,37.01151305,37.47316579,38.06367734,38.21066708,38.41177175,38.61835559,38.82415911,39.0030036,39.20977009,39.41530147,39.62107715,39.79971804,40.00644443,40.21333385
NewZealand,NewZealand,33.20527354,33.27158781,33.53941954,33.94294255,34.47046286,34.5535131,35.32205969,36.2442626,36.00357349,36.61237543,36.90376025,36.94102608,37.19855174,37.42794819,37.78283287,38.3755418,38.50187595,38.67189236,39.1627744,39.53748285,39.65178332,39.94872882,40.14302862,40.15074385,40.93006837,41.32871315,41.63178784,41.9329878,42.263391,42.60885068,42.92571969,43.2316985,43.5589823,43.8902121,44.23740346,44.53580677
Uruguay,Uruguay,33.19021871,33.17692058,33.1339896,33.24696679,33.27151024,33.31816779,33.52122576,33.67375882,34.48701127,34.48324202,34.3221223,34.67363748,34.65699197,34.92691673,35.04010182,35.25815937,35.49931921,35.56828778,36.38971517,36.45815378,36.88159969,36.93628871,37.0017248,37.19346476,37.20649899,37.42732025,37.61645774,37.82783156,38.01733724,38.20660987,38.39673397,38.60767261,38.79770308,38.96286704,39.15185647,39.36351603
